minute,temperature
0,29.96786579501993
1,29.990351448880077
2,29.85818053128449
3,29.959058606405744
4,29.922435137587946
5,29.56930592558642
6,29.69601259281188
7,29.732287373874076
8,29.642598904503043
9,29.77685156818228
10,29.81661729724913
11,29.87227013897977
12,29.598062915378957
13,29.654056507788155
14,29.68781369928444
15,29.836176341538494
16,29.75698853329292
17,29.522752952274285
18,29.624783714388197
19,29.359404476359735
20,29.50601011033612
21,29.481340478861956
22,29.65325168022748
23,29.757150177535717
24,29.53229494189792
25,29.119027358567
26,29.489115533318365
27,29.31614029466513
28,29.469158275777062
29,29.300375729513252
30,29.498950477431926
31,29.355630810794135
32,29.12770331441347
33,29.642180566785612
34,29.124515188375604
35,29.546285740855073
36,28.90800667718206
37,29.29980969588407
38,28.92451619551503
39,29.08417663887752
40,29.271978463968885
41,29.053689595675518
42,28.963073800149246
43,28.755443642050547
44,29.21754027316291
45,29.217904764283155
46,29.18625559363792
47,28.941073849862015
48,28.866771239577204
49,28.713265248251577
50,28.894060260897565
51,28.931316209519203
52,28.936029142657336
53,28.734028361574467
54,28.774495587764104
55,28.623219325135942
56,28.624567181350766
57,28.63779364423835
58,28.816613982392745
59,28.652340148460578
60,28.634007862387968
61,28.930895864402416
62,28.9031047553155
63,28.90056843947471
64,28.26105841161433
65,28.580013053621023
66,28.57958611463612
67,28.47582525204989
68,28.307666419357556
69,28.66580947950454
70,28.40895843934659
71,28.645336455407694
72,28.34954780756652
73,28.425766416810756
74,28.260353808423243
75,28.500588930256086
76,28.522814611095725
77,28.277573423461376
78,28.404981498529867
79,28.49956080844312
80,28.290391471567673
81,28.27856510082516
82,28.05784848679681
83,28.3083614805652
84,28.30156959575204
85,28.114885579114034
86,28.379407430904276
87,28.149372201935872
88,28.18688091709908
89,27.974920916762667
90,27.95812555859772
91,27.846734139072222
92,28.094350144472738
93,28.20116341624843
94,28.28197635891778
95,28.259474182923643
96,28.20827135288877
97,28.080317567060852
98,27.765127391658027
99,27.792918704393628
100,28.151340738748797
101,28.09845142458318
102,27.916573940273615
103,27.645623618308164
104,27.66439678674397
105,27.57402104817835
106,27.489517346960753
107,27.63681710846101
108,27.496617333815152
109,27.810298184743264
110,27.693259212233066
111,27.791293321382405
112,27.662564685994123
113,27.69317532253429
114,27.763756997244414
115,27.52440047140629
116,27.95649722762247
117,27.338904825853614
118,27.58279984555402
119,27.548328812502437
120,27.446192577038353
121,27.493082223431266
122,27.45855964691494
123,27.464220312558037
124,27.55939757931923
125,27.21588233472005
126,27.38925159696308
127,27.610850419236222
128,27.242599947883072
129,27.229778047532815
130,27.534201104472288
131,27.35240573958692
132,27.42792528436151
133,27.47156341146709
134,27.397529010162863
135,27.327387671024837
136,26.769610695276526
137,27.106414971507917
138,27.293478684054698
139,27.09967524927466
140,27.072745896153886
141,27.298807763443094
142,26.841858616457785
143,27.00766233618392
144,27.100911677620545
145,26.961622576389004
146,27.436722724591466
147,26.856221496149573
148,27.20635641237024
149,27.023837657431105
150,26.868290545064205
151,26.944610290352404
152,26.877961082401963
153,26.99815227413429
154,26.77308783291671
155,26.95071679931241
156,26.836254718995335
157,26.955389645359542
158,26.73093982980779
159,27.022032228637595
160,27.05269906575806
161,27.21683873509648
162,26.736988379737664
163,26.853874165084086
164,26.67466534432407
165,26.718453288603282
166,26.72815864119982
167,26.453682794308936
168,26.69675328341019
169,26.88766578916901
170,26.701274557465858
171,26.68772525110426
172,26.34032416496874
173,26.35802927096954
174,26.54041396568861
175,26.307891947059595
176,26.190910927127486
177,26.424497368715894
178,26.27658650121065
179,26.361188485284238
180,26.283360275554546
181,26.58889195806527
182,26.264682100126826
183,26.360800827719363
184,26.313345666051525
185,26.60522849720157
186,26.298952114187014
187,26.361299083722365
188,25.981126199978885
189,26.65952127682509
190,26.4768090942032
191,26.286198141030834
192,26.343086323296117
193,26.61950120412406
194,26.11741375164702
195,26.251248870357816
196,26.47015882559316
197,26.259098189737553
198,26.43725327335431
199,26.510173145679328
200,25.9070467599683
201,26.406460940971538
202,26.30907101379589
203,26.21035056949098
204,26.196307443106924
205,25.99846452097728
206,26.14786309703007
207,26.057091766647396
208,26.046284967907987
209,26.18519204760105
210,26.043345094444465
211,25.83561554215371
212,25.970996506042134
213,25.95134055774081
214,25.961511834136637
215,26.190787168983658
216,25.890224540011115
217,25.926721301718082
218,26.286707348030696
219,25.913594503472126
220,25.88080946897683
221,26.095878149139978
222,26.041837196964373
223,25.6882143905344
224,25.797941000732756
225,26.11608143016092
226,25.81838884539452
227,25.994980112715
228,25.89170854319976
229,25.647221710677144
230,26.082435008374457
231,26.064505433963973
232,25.94863500359316
233,25.799978875858102
234,25.432507739447892
235,25.71600477848479
236,26.17745785686526
237,25.386375857090954
238,25.43053190819643
239,25.79076743898211
240,25.621705440525805
241,25.779202576787647
242,25.9658756912612
243,25.559569240475
244,25.582016915436455
245,25.6964721095027
246,25.83270808644878
247,25.40735875914558
248,25.47834230976754
249,25.51367441013029
250,25.534981082357707
